user_id,gt_item,q_0_rank,q_1_rank,q_2_rank,q_3_rank,q_4_rank,q_5_rank,q_6_rank,q_7_rank,q_8_rank,q_9_rank,q_10_rank,q_11_rank,q_12_rank,q_13_rank,q_14_rank,q_15_rank,q_16_rank,q_17_rank,q_18_rank,q_19_rank,q_20_rank,q_21_rank,q_22_rank,q_23_rank,q_24_rank,q_25_rank,q_26_rank,q_27_rank,q_28_rank,q_29_rank,q_30_rank,q_31_rank,q_32_rank,q_33_rank,q_34_rank,q_35_rank,q_36_rank,q_37_rank,q_38_rank,q_39_rank,q_40_rank,q_41_rank,q_42_rank,q_43_rank,q_44_rank,q_45_rank,q_46_rank,q_47_rank,q_48_rank,q_49_rank,q_50_rank,q_51_rank,q_52_rank,q_53_rank,q_54_rank,q_55_rank,q_56_rank,q_57_rank,q_58_rank,q_59_rank,q_60_rank,q_61_rank,q_62_rank,q_63_rank,q_64_rank,q_65_rank,q_66_rank,q_67_rank,q_68_rank,q_69_rank,q_70_rank,q_71_rank,q_72_rank,q_73_rank,q_74_rank,q_75_rank,q_76_rank,q_77_rank,q_78_rank,q_79_rank,q_80_rank,q_81_rank,q_82_rank,q_83_rank,q_84_rank,q_85_rank,q_86_rank,q_87_rank,q_88_rank,q_89_rank,q_90_rank,q_91_rank,q_92_rank,q_93_rank,q_94_rank,q_95_rank,q_96_rank,q_97_rank,q_98_rank,q_99_rank,q_100_rank,q_101_rank,q_102_rank,q_103_rank,q_104_rank,q_105_rank,q_106_rank,q_107_rank,q_108_rank,q_109_rank,q_110_rank,q_111_rank,q_112_rank,q_113_rank,q_114_rank,q_115_rank,q_116_rank,q_117_rank,q_118_rank,q_119_rank,q_120_rank,q_121_rank,q_122_rank,q_123_rank,q_124_rank,q_125_rank,q_126_rank,q_127_rank,q_128_rank,q_129_rank,q_130_rank,q_131_rank,q_132_rank,q_133_rank,q_134_rank,q_135_rank,q_136_rank,q_137_rank,q_138_rank,q_139_rank,q_140_rank,q_141_rank,q_142_rank,q_143_rank,q_144_rank,q_145_rank,q_146_rank,q_147_rank,q_148_rank,q_149_rank,q_150_rank,q_151_rank,q_152_rank,q_153_rank,q_154_rank,q_155_rank,q_156_rank,q_157_rank,q_158_rank,q_159_rank,q_160_rank,q_161_rank,q_162_rank,q_163_rank,q_164_rank,q_165_rank,q_166_rank,q_167_rank,q_168_rank,q_169_rank,q_170_rank,q_171_rank,q_172_rank,q_173_rank,q_174_rank,q_175_rank,q_176_rank,q_177_rank,q_178_rank,q_179_rank,q_180_rank,q_181_rank,q_182_rank,q_183_rank,q_184_rank,q_185_rank,q_186_rank,q_187_rank,q_188_rank,q_189_rank,q_190_rank,q_191_rank,q_192_rank,q_193_rank,q_194_rank,q_195_rank,q_196_rank,q_197_rank,q_198_rank,q_199_rank,q_200_rank,q_201_rank,q_202_rank,q_203_rank,q_204_rank,q_205_rank,q_206_rank,q_207_rank,q_208_rank,q_209_rank,q_210_rank,q_211_rank,q_212_rank,q_213_rank,q_214_rank,q_215_rank,q_216_rank,q_217_rank,q_218_rank,q_219_rank,q_220_rank,q_221_rank,q_222_rank,q_223_rank,q_224_rank,q_225_rank,q_226_rank,q_227_rank,q_228_rank,q_229_rank,q_230_rank,q_231_rank,q_232_rank,q_233_rank,q_234_rank,q_235_rank,q_236_rank,q_237_rank,q_238_rank,q_239_rank,q_240_rank,q_241_rank,q_242_rank,q_243_rank,q_244_rank,q_245_rank,q_246_rank,q_247_rank,q_248_rank,q_249_rank,q_250_rank,q_251_rank,q_252_rank,q_253_rank,q_254_rank,q_255_rank,q_256_rank,q_257_rank,q_258_rank,q_259_rank,q_260_rank,q_261_rank,q_262_rank,q_263_rank,q_264_rank,q_265_rank,q_266_rank,q_267_rank,q_268_rank,q_269_rank,q_270_rank,q_271_rank,q_272_rank,q_273_rank,q_274_rank,q_275_rank,q_276_rank,q_277_rank,q_278_rank,q_279_rank,q_280_rank,q_281_rank,q_282_rank,q_283_rank,q_284_rank
A10C4ON7WHJG66,B00ML76SN8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10I6IQB2T4J9P,B00FB45SI4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,801,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,479,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1920,inf,inf,inf,inf,1825,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,724,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,724,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,582,inf,582,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1521,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10VF3YU3VD2QQ,B00K6C73ES,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10WSHMUV5PG69,B00JFC9ALE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1648,633,inf,inf,609,inf,1626,620,inf,1459,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,601,937,inf,527,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1742,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1515,inf,754,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,855,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1574,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,475,inf,inf,inf,inf,inf,inf,515,inf,inf,inf,534,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11CORVF4RCHZA,B016C6Z1QS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,604,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,900,inf,inf,inf,inf,inf,816,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11VIOT5MCLI20,B00K601QSE,85,107,92,622,136,105,145,84,124,89,104,121,236,139,102,102,inf,787,94,96,264,150,196,103,99,1107,inf,88,110,153,78,149,134,1116,inf,inf,103,86,182,188,114,86,176,188,114,86,176,188,114,86,176,inf,inf,103,86,193,inf,137,97,135,285,110,141,101,173,inf,inf,118,99,83,68,92,771,205,126,341,149,102,311,118,99,83,96,83,172,785,inf,936,834,inf,936,128,92,254,310,59,113,133,764,85,279,101,119,inf,316,96,126,253,241,106,764,inf,inf,inf,inf,inf,116,179,77,92,113,852,96,inf,181,77,inf,1077,inf,inf,inf,1689,1259,inf,inf,inf,116,173,77,92,113,inf,1689,84,inf,inf,inf,inf,94,inf,inf,inf,inf,80,inf,inf,inf,inf,80,inf,81,inf,inf,inf,inf,inf,83,inf,inf,inf,inf,86,inf,inf,85,86,inf,100,inf,inf,inf,inf,107,inf,139,inf,inf,inf,inf,93,inf,inf,98,inf,inf,111,inf,inf,inf,inf,301,95,inf,inf,inf,inf,inf,inf,inf,86,inf,78,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12ZZSRXHW50DA,B00R5K8YCY,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,586,inf,inf,inf,1237,inf,inf,inf,inf,284,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,359,inf,inf,inf,inf,inf,inf,inf,inf,1056,inf,inf,1035,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,988,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,295,inf,inf,inf,1097,inf,inf,inf,477,inf,1232,inf,inf,inf,inf,inf,225,inf,inf,inf,inf,inf,inf,inf,1044,591,inf,inf,inf,inf,524,inf,inf,292,inf,inf,204,inf,inf,555,inf,inf,469,inf,inf,723,151,1040,1228,177,inf,146,inf,inf,657,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,775,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,704,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A137LNJXJB2YRG,B019ZAKVEA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13TFQZGLMVCG,B0015YRMXI,292,329,281,146,490,272,403,196,166,158,440,106,171,557,303,287,156,440,504,171,125,286,440,156,inf,208,710,inf,inf,inf,30,1037,inf,inf,63,inf,inf,208,710,inf,inf,240,938,529,inf,83,46,1195,inf,inf,inf,inf,inf,83,inf,523,inf,46,46,inf,inf,inf,inf,inf,inf,99,1146,535,1176,146,inf,inf,99,inf,409,inf,140,1046,472,128,540,81,449,240,131,113,1459,57,469,340,inf,799,150,1073,494,151,128,1459,469,799,140,1212,473,249,150,119,59,540,270,123,526,709,342,inf,inf,inf,inf,586,inf,inf,99,inf,603,148,333,inf,inf,inf,inf,450,1105,668,inf,inf,60,1121,328,inf,inf,97,1134,66,1127,188,inf,93,182,645,341,inf,inf,705,1236,680,630,inf,inf,369,402,586,582,inf,152,inf,440,1003,35,inf,114,926,inf,483,46,inf,46,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14RIO9CB4A3U6,B013G1TE4M,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
